player,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
JoJoRomero,MEX,2,0,8.1,4,0,0,0,0,2,3.1,4,3,3,2,0,3,2,2.1,0.333
MannyBarreda,MEX,0,0,9,1,0,0,0,0,0,1,1,1,1,0,0,1,1,2,0.25
LuisCessa,MEX,0,0,4.5,1,0,0,0,0,0,2,2,1,1,0,0,0,1,1,0.286
CesarVargas,MEX,0,0,27,2,0,0,0,0,0,1,2,3,3,0,0,1,1,3,0.4
SamuelZazueta,MEX,0,0,13.5,2,0,0,0,0,0,0.2,2,1,1,1,0,2,1,6,0.5
FernandoCruz,PUR,0,0,2.45,3,1,0,0,0,0,3.2,4,1,1,1,0,2,5,1.64,0.267
JorgeLopez,PUR,0,0,0,3,0,0,0,0,1,3,2,0,0,0,0,0,4,0.67,0.182
MarcusStroman,PUR,0,0,3,2,2,0,0,0,0,9,7,3,3,2,1,1,4,0.89,0.212
AlexisDiaz,PUR,0,1,18,3,0,0,0,0,0,2,2,4,4,0,0,5,3,3.5,0.286
EmilioPagan,PUR,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0.333
HectorSantiago,PUR,0,0,7.71,1,0,0,0,0,0,2.1,5,2,2,0,0,0,1,2.14,0.417
LanceLynn,USA,1,0,3,2,2,0,0,0,0,9,6,3,3,2,0,1,8,0.78,0.188
DevinWilliams,USA,0,0,0,4,0,0,0,0,0,3.1,1,0,0,0,0,1,6,0.6,0.091
JasonAdam,USA,0,0,0,4,0,0,0,0,1,4,1,0,0,0,0,3,5,1,0.083
DavidBednar,USA,1,0,2.25,4,0,0,0,0,0,4,3,1,1,1,0,0,5,0.75,0.214
KyleFreeland,USA,0,0,3,2,0,0,0,0,0,6,3,2,2,1,0,2,5,0.83,0.15
AdamWainwright,USA,2,0,2.25,2,2,0,0,0,0,8,10,2,2,1,0,2,5,1.5,0.294
DanielBard,USA,0,0,43.2,3,0,0,0,0,0,1.2,5,8,8,0,2,4,2,5.4,0.556
MerrillKelly,USA,0,1,8.31,2,2,0,0,0,0,4.1,7,4,4,1,0,4,2,2.54,0.368
AaronLoup,USA,0,0,0,3,0,0,0,0,0,2.2,3,0,0,0,0,0,2,1.13,0.3
NickMartinez,USA,0,1,10.13,1,1,0,0,0,0,2.2,5,3,3,1,0,1,2,2.25,0.385
RyanPressly,USA,0,0,0,3,0,0,0,2,2,3,1,0,0,0,0,0,2,0.33,0.1
BradySinger,USA,0,0,18,1,0,0,0,0,0,2,4,4,4,1,0,1,2,2.5,0.4
KendallGraveman,USA,1,0,0,2,0,0,0,0,0,1.1,1,0,0,0,0,0,1,0.75,0.25
LuisGarcia,VEN,0,0,2.57,2,0,0,0,0,0,7,4,2,2,1,0,2,10,0.86,0.167
PabloLopez,VEN,1,0,1.93,1,1,0,0,0,0,4.2,2,1,1,1,0,0,6,0.43,0.125
JoseAlvarado,VEN,0,0,0,3,0,0,0,1,1,3,3,0,0,0,0,1,5,1.33,0.25
EnmanuelDe Jesus,VEN,0,0,2.45,1,0,0,0,0,0,3.2,4,1,1,0,0,1,5,1.36,0.267
CarlosHernandez,VEN,0,0,0,2,0,0,0,0,0,2.2,3,0,0,0,0,0,5,1.13,0.273
MartinPerez,VEN,0,0,9.82,2,2,0,0,0,0,3.2,9,4,4,0,0,2,4,3,0.45
JoseQuijada,VEN,0,1,11.57,3,0,0,0,0,0,2.1,3,3,3,0,1,2,3,2.14,0.3
EduardoRodriguez,VEN,0,0,4.5,1,1,0,0,0,0,2,7,1,1,0,0,0,3,3.5,0.583
SilvinoBracho,VEN,0,0,2.25,3,0,0,0,1,2,4,2,1,1,1,0,0,2,0.5,0.154
DarwinzonHernandez,VEN,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0.25
